what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573525359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269573532234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573533203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573533203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573533281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573934484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573940281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573940281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269573940359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269574834281
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269574836703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1269574842203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269574845656
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269574858687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269574864359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269574867578
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269574869640
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269574907750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269574907937
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269574916625
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269574921875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269574938781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269574939187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269574939718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269574940062
